ID	Concept	Doculect	Value
376	wife	NEA-Munken-1	tʃùmə̀/ bə̀tʃólə̀mə́~
377	wife	TNT-Munken-2	tʃʊ̀mə̀ / bə́tʃœ́lə̀mə́
378	wife	MCA-Ngun-3	nan
379	wife	KBM-Ngun-4	nan
380	wife	WCA-Ngun-1	ʊ̀tʃʊ̀lʊ́ / bə̀tʃʊ̀lʊ́
381	wife	AOM-Ngun-2	tʃʊ̂ / bɛ́tʃʊ̂
382	wife	APB-Mumfu-1	kpɛ̂~kpá / tʃɛ̂~kpé
383	wife	DNM-Mumfu-2	kpá~kpɛ̂ / tʃɛ̄bɛ̄n~tʃɛ̂
384	wife	BKB-Mashi-2	kpāːn / bʊ́kâː
385	wife	KFK-Mashi-1	kpāːn / bʊ́kâːbó
386	wife	ABS-Missong-1	tʃə̄ / bátʃâː
387	wife	AGA-Missong-2	tʃə́wú / bátʃâwú
388	co-wife	NVB-Abar-7	nan
389	co-wife	ECL-Abar-8	nan
390	co-wife	NMA-Abar-1	nan
391	co-wife	NAC-Abar-2	nan
392	co-wife	NEM-Ajumbu-9	nan
393	co-wife	NVI-Ajumbu-1	nan
394	co-wife	KMN-Ajumbu-2	nan
395	co-wife	KDC-Ajumbu-10	nan
396	co-wife	ENB-Biya-1	nan
397	co-wife	ICN-Biya-2	nan
398	co-wife	NNB-Buu-3	nan
399	co-wife	MNJ-Buu-4	nan
400	co-wife	KEM-Buu-1	nan
401	co-wife	KCY-Buu-2	nan
402	co-wife	KHK-Fang-12	nan
403	co-wife	DPN-Fang-13	nan
404	co-wife	KDV-Fang-1	nan
405	co-wife	KJS-Fang-2	nan
406	co-wife	JGY-Koshin-3	nan
407	co-wife	TEL-Koshin-4	nan
408	co-wife	MRY-Koshin-2	nan
409	co-wife	KCS-Kung-3	nan
410	co-wife	NJS-Kung-4	nan
411	co-wife	ZKG-Kung-1	nan
412	co-wife	BNM-Kung-2	nan
413	co-wife	NMN-Mundabli-3	nan
414	co-wife	CEN-Mundabli-2	nan
415	co-wife	LFN-Mundabli-1	tʃɔ̄m / tʃɔ̄myə́
416	co-wife	NIN-Mundabli-4	tʃɔ̄m / tʃɔ̄myó
417	co-wife	NGT-Munken-3	nan
418	co-wife	NUN-Munken-4	nan
419	co-wife	NEA-Munken-1	ø / ø 
420	co-wife	TNT-Munken-2	ɪ̀kwʊ̀m / kìkwʊ̀mə̀
421	co-wife	MCA-Ngun-3	nan
422	co-wife	KBM-Ngun-4	nan
423	co-wife	WCA-Ngun-1	ɪ̀kʊ́m / kə̀kʊ̀m
424	co-wife	AOM-Ngun-2	ɪ̀kwu᷇m / kə̀kwùmò
425	co-wife	APB-Mumfu-1	tʃɔ̄ːm / tʃɔ̄myə́
426	co-wife	DNM-Mumfu-2	tʃɔ́m / tʃɔ́m
427	co-wife	BKB-Mashi-2	kpǎːlə́ / bʊ̀kpǎːlə́ (your co-wife)
428	co-wife	KFK-Mashi-1	kpə̀ʃi᷇ː/ø  (his co-wife)*
429	co-wife	ABS-Missong-1	ìkwún / kìkwumnə̀
430	co-wife	AGA-Missong-2	ɪ̀kwʊ̌m / kɪ́kwʊ́mnə́
431	white man	NVB-Abar-7	nan
432	white man	ECL-Abar-8	nan
433	white man	NMA-Abar-1	ʊ̀nʊ̀gbwɪ̀tʃí / bwɪ́nâgbwɪ́tʃí
