ID	Concept	Doculect	Value
397	friend	NNB-Buu-3	ǹsʊ́n / bə̀nsʊ́n
398	friend	MNJ-Buu-4	ǹsʊ́ːn / bə̀nsʊ́ːn
399	friend	KHK-Fang-12	sʊ̄n / bə̀nsʊ́n
400	friend	DPN-Fang-13	sʊ̄n / bə̀nsʊ́n
401	friend	JGY-Koshin-3	ńséɲ / ǹséɲ ~ ńséɲ
402	friend	TEL-Koshin-4	ǹsɪ̄ɲ / ńsɪ́ɲ
403	friend	KCS-Kung-3	sø̄ʲ ~ wʊ̀òsòɲ / sóʲ
404	friend	NJS-Kung-4	sóʲ / ə̄sóʲ
405	friend	NMN-Mundabli-3	n̄sʊ̄ŋ / ǹsʊ̄ɪ̄ɲ
406	friend	CEN-Mundabli-2	ńsʊ́ːŋ / ńsǿé
407	friend	NGT-Munken-3	bʲâ / bə̀bʲá
408	friend	NUN-Munken-4	àtsò / bàtsò
409	friend	MCA-Ngun-3	bī~bîː / bɛ̀bí
410	friend	KBM-Ngun-4	ʊ̀kɥɪ̀ / bə̀kɥɪ̀
411	friend	APB-Mumfu-1	ńsʊ́ŋ / ńswéːn
412	friend	DNM-Mumfu-2	n̄sʊ̄ŋ / n̄sōn
413	friend	BKB-Mashi-2	ǹsʊ́ / ǹsʊ́
414	friend	KFK-Mashi-1	ǹsʊ́ / ǹsʊ́ŋ
415	friend	ABS-Missong-1	ìtsʊ̈̌ / kítsʊ̂lə̀
416	friend	AGA-Missong-2	ɪ̀tsʊ̌ / átsʊ́wú~kɪ́tsʊ́lə́
417	friend (female)	NVB-Abar-7	nan
418	friend (female)	ECL-Abar-8	nan
419	friend (female)	NEM-Ajumbu-9	nan
420	friend (female)	KDC-Ajumbu-10	nan
421	friend (female)	ENB-Biya-1	nan
422	friend (female)	ICN-Biya-2	nan
423	friend (female)	NNB-Buu-3	nan
424	friend (female)	MNJ-Buu-4	nan
425	friend (female)	KHK-Fang-12	nan
426	friend (female)	DPN-Fang-13	nan
427	friend (female)	JGY-Koshin-3	nan
428	friend (female)	TEL-Koshin-4	nan
429	friend (female)	KCS-Kung-3	nan
430	friend (female)	NJS-Kung-4	nan
431	friend (female)	NMN-Mundabli-3	nan
432	friend (female)	CEN-Mundabli-2	nan
433	friend (female)	NGT-Munken-3	nan
434	friend (female)	NUN-Munken-4	nan
435	friend (female)	MCA-Ngun-3	nan
436	friend (female)	KBM-Ngun-4	nan
437	friend (female)	APB-Mumfu-1	nan
438	friend (female)	DNM-Mumfu-2	nan
439	friend (female)	BKB-Mashi-2	nan
440	friend (female)	KFK-Mashi-1	nan
441	friend (female)	ABS-Missong-1	nan
442	friend (female)	AGA-Missong-2	nan
443	friend (male)	NVB-Abar-7	nan
444	friend (male)	ECL-Abar-8	nan
445	friend (male)	NEM-Ajumbu-9	nan
446	friend (male)	KDC-Ajumbu-10	nan
447	friend (male)	ENB-Biya-1	nan
448	friend (male)	ICN-Biya-2	nan
449	friend (male)	NNB-Buu-3	nan
450	friend (male)	MNJ-Buu-4	nan
451	friend (male)	KHK-Fang-12	nan
452	friend (male)	DPN-Fang-13	nan
453	friend (male)	JGY-Koshin-3	nan
454	friend (male)	TEL-Koshin-4	nan
455	friend (male)	KCS-Kung-3	nan
456	friend (male)	NJS-Kung-4	nan
457	friend (male)	NMN-Mundabli-3	nan
458	friend (male)	CEN-Mundabli-2	nan
459	friend (male)	NGT-Munken-3	nan
460	friend (male)	NUN-Munken-4	nan
461	friend (male)	MCA-Ngun-3	nan
462	friend (male)	KBM-Ngun-4	nan
463	friend (male)	APB-Mumfu-1	nan
464	friend (male)	DNM-Mumfu-2	nan
