ID	Concept	Doculect	Value
292	mouth	ICN-Biya-2	ʊ̄fʷə̄n / áfʷə̄n
293	mouth	NNB-Buu-3	kə̀zé / bə̀dzə́gkpə́~bə̀dzə́gkpə́nə̄
294	mouth	MNJ-Buu-4	kə̀zéː / bə̀dzə́kpə́
295	mouth	KHK-Fang-12	dʒʲə᷇ː / bə̀dzə́kə̄
296	mouth	DPN-Fang-13	dʒʲə́ / bə̀dzə́kə̄
297	mouth	JGY-Koshin-3	kə́dzôː / bə́dzôː
298	mouth	TEL-Koshin-4	kə́zôː / bə́zôː
299	mouth	KCS-Kung-3	tsə́ʲ / tsə̄
300	mouth	NJS-Kung-4	tsə́ɪ́ / ə̀tsə́
301	mouth	NMN-Mundabli-3	dzʲɛ́ / dzʲɛ̀ː bɪ́
302	mouth	CEN-Mundabli-2	dzɛ́ / dzó
303	mouth	NGT-Munken-3	ʊ́fə̂n / áfə́nə̀sə́
304	mouth	NUN-Munken-4	ʊ́fə̂n / áfə̀nə̀~ áfə̂n
305	mouth	MCA-Ngun-3	ʊ̀fʷɛ̀n / àfʷɛ̀n
306	mouth	KBM-Ngun-4	ʊ̀fʷə̀n / àfʷə̀n
307	mouth	APB-Mumfu-1	dzák / dzákkə́ ~ dzák/ dzák
308	mouth	DNM-Mumfu-2	zák / zákkɛ́
309	mouth	BKB-Mashi-2	ádzé / bídzé
310	mouth	KFK-Mashi-1	ádzé / bídzé
311	mouth	ABS-Missong-1	ʊ̄fān / áfán
312	mouth	AGA-Missong-2	ʊ́fân / āfánwō~ɪ́fánə̀
313	ear	NVB-Abar-7	kə̀tɔ́ŋó / ɪ̀tɔ́ŋóbî
314	ear	ECL-Abar-8	kə̀tɔ́ŋɔ́ / bìtɔ́ŋɔ́
315	ear	NEM-Ajumbu-9	kə̀tʊ́ŋ / bə̀tʊ́ŋ
316	ear	KDC-Ajumbu-10	kə́tʊ́ŋ / bə́tʊ́ŋ
317	ear	ENB-Biya-1	kə̀tɔ́ŋə́~kə̀tɔ́ŋá / bìtɔ́ŋə́~bìtɔ́ŋá
318	ear	ICN-Biya-2	kə̀tɔ́ŋ / bìtɔ́ŋ
319	ear	NNB-Buu-3	kə̀túŋə́ / bə́túŋə́
320	ear	MNJ-Buu-4	kə̀tʊ́ŋə́ / bə́tʊ́ŋmgbə́
321	ear	KHK-Fang-12	túə́~túə́ŋ / bə̀túə́~bə̀túə́ŋ
322	ear	DPN-Fang-13	tʷə́ŋ / bə̀tʷə́ŋ
323	ear	JGY-Koshin-3	kə̀túŋ / bə̀túŋ
324	ear	TEL-Koshin-4	kə̀túŋ / bə̀tṹ ~ bə̀túŋ
325	ear	KCS-Kung-3	kə̀tʊ᷇ːŋə́ / ʊ́tʊ᷇ːŋə́
326	ear	NJS-Kung-4	kə̀tʊ̂ŋə́ / ʊ̀tʊ̂ŋə́
327	ear	NMN-Mundabli-3	tʃʊ́ŋ / tʃʊ́ŋ~tʃɔ́m
