a11londo
lʲ	2.71	1

g66wanji
l	2.52	53
lʷ	5.88	1
sʷ	14.53	1

h111hangala
aː	2.47	5
iː	5.98	7
uː	6.63	8

h11beembe
aː	4.07	8
eː	6.27	6
iː	4.21	5
oː	4.24	6
uː	4.07	5
w	-2.08	0

h12civilicongo
tʃ	2.26	7
ə	2.63	28

h131kisundicongokimongo1988

h13kikunyi1989
d	2.19	24
ts	2.42	7

h16akisikongo2013
c	3.24	8

h16akisolongodrc2012
d	2.48	26
n	2.01	47

h16bkindibu2013
k	2.09	43
n	2.23	49
t	2.28	25

h16cilinji
d	2.19	24

h16cimbala
d	2.34	25
n	2.33	50

h16cizobe
d	2.19	24

h16ckiyombedrc1982
e	2.2	47
m	-2.47	12
z	2.73	16

h16cyombe
e	2.53	51
ts	2.42	7

h16dciwoyodrc2012
n	2.76	54
z	2.51	15

h16flaadi

h16gkimpangu2012

h16gntandu
t	2.47	26
ɖʐ	10.96	2

h16hkinkanu2012
n	2.01	47

h16kikongo
n	2.12	48

h16kimbatangidinga

h16kimbeko
t	2.1	24

h21akimbundu
d	2.34	25
w	-2.08	0
x	9.52	11

h31yaka
a	2.44	91
m	-2.1	15

h321soonde
ts	3.66	10
z	2.73	16

h32suku
æ	2.71	1
ɖʐ	5.44	1
ʂ	4.81	5
ʈʂ	18.39	2

h41mbala
g	3.02	27
ɖʐ	16.48	3
ʂ	5.8	6
ʈʂ	9.16	1

h42hunganna

jd53shi
ʃ	2.51	8

jd62rundi
r	2.1	28
rʲ	7.72	1

jd64shubi
dʲ	7.21	1

jd65hangaza
dʲ	7.21	1

jd66kiha
dʲ	7.21	1
u	2.79	93
β	3.73	10

jd67kivinza
lʲ	2.71	1
u	2.18	81
β	4.96	13

je11runyoro
lʲ	2.71	1

je12rutooro
lʲ	2.71	1

je13runyankore
e	2.36	49
rʲ	7.72	1
ʃ	3.25	10

je14rukiga
rʲ	7.72	1
ʃ	2.88	9

je15luganda

je16lusoga
lʲ	2.71	1

je17gwere
lʲ	2.71	1

je21runyambo
lʲ	2.71	1
tʃ	2.67	8

je22haya
kʲ	14.53	1
lʲ	2.71	1
ʃ	2.14	7

je23zinza
lʲ	2.71	1
z	2.06	13

je24kerebe
lʲ	2.71	1
z	2.06	13

je25jita
gʷ	3.45	1
kʷ	6.13	2
lʲ	2.71	1
nʷ	20.57	1
sʲ	9.15	1
tʷ	12.39	2
ŋʷ	4.94	1

je25kilegi
lʲ	2.71	1

